市区町村名,地区名,place_idx,distance,住所
千代田区,飯田橋,0,1.688713182539263,千代田区飯田橋
千代田区,一番町,0,1.0433115859229927,千代田区一番町
千代田区,岩本町,0,2.417422252129211,千代田区岩本町
千代田区,内神田,0,1.4996881575856378,千代田区内神田
千代田区,神田淡路町,0,1.8487430006565164,千代田区神田淡路町
千代田区,神田和泉町,0,2.7983995442463145,千代田区神田和泉町
千代田区,神田小川町,0,1.5225516496869378,千代田区神田小川町
千代田区,神田佐久間町,0,2.6254844045836476,千代田区神田佐久間町
千代田区,神田猿楽町,0,1.6778864284697632,千代田区神田猿楽町
千代田区,神田神保町,0,1.277386808277264,千代田区神田神保町
千代田区,神田須田町,0,2.0851962882025843,千代田区神田須田町
千代田区,神田駿河台,0,1.7782320092178556,千代田区神田駿河台
千代田区,神田多町,0,1.7808502743418257,千代田区神田多町
千代田区,神田司町,0,1.6313856159006104,千代田区神田司町
千代田区,神田富山町,0,2.1164876352423123,千代田区神田富山町
千代田区,神田錦町,0,1.1827106813124066,千代田区神田錦町
千代田区,神田練塀町,0,2.5941279050913257,千代田区神田練塀町
千代田区,神田東紺屋町,0,2.169251311174167,千代田区神田東紺屋町
千代田区,神田東松下町,0,2.1441628616316293,千代田区神田東松下町
千代田区,神田三崎町,0,1.7299992547255405,千代田区神田三崎町
千代田区,九段北,0,1.2988397929249746,千代田区九段北
千代田区,九段南,0,1.0949185681006801,千代田区九段南
千代田区,麹町,0,1.3837985495886937,千代田区麹町
千代田区,三番町,0,1.0229558019896268,千代田区三番町
千代田区,外神田,0,2.468936304276941,千代田区外神田
千代田区,西神田,0,1.531313769859582,千代田区西神田
千代田区,東神田,0,2.8037779730907304,千代田区東神田
千代田区,平河町,0,0.2221953309832886,千代田区平河町
千代田区,富士見,0,1.5911239205602952,千代田区富士見
千代田区,四番町,0,1.4143072146177513,千代田区四番町
中央区,日本橋大伝馬町,0,2.5065305145786696,中央区日本橋大伝馬町
中央区,日本橋小伝馬町,0,2.457004519139792,中央区日本橋小伝馬町
中央区,日本橋小舟町,0,2.3225245192958237,中央区日本橋小舟町
中央区,日本橋富沢町,0,2.745480493738553,中央区日本橋富沢町
中央区,日本橋人形町,0,2.7286424062841386,中央区日本橋人形町
中央区,日本橋馬喰町,0,2.9470327179604108,中央区日本橋馬喰町
中央区,日本橋浜町,0,3.241519681103531,中央区日本橋浜町
中央区,日本橋久松町,0,2.894644758383018,中央区日本橋久松町
中央区,日本橋堀留町,0,2.5443733852956565,中央区日本橋堀留町
中央区,日本橋本町,0,2.1238328008439984,中央区日本橋本町
中央区,日本橋室町,0,1.8854706576027704,中央区日本橋室町
中央区,日本橋横山町,0,2.9307592023204623,中央区日本橋横山町
中央区,東日本橋,0,3.098544910856067,中央区東日本橋
新宿区,市谷田町,0,1.7340042244226173,新宿区市谷田町
新宿区,岩戸町,0,2.2811952114059837,新宿区岩戸町
新宿区,神楽坂,0,2.1575494507842725,新宿区神楽坂
新宿区,下宮比町,0,2.1734021337660265,新宿区下宮比町
新宿区,白銀町,0,2.4591399457420327,新宿区白銀町
新宿区,新小川町,0,2.5311731874978753,新宿区新小川町
新宿区,筑土八幡町,0,2.4092599632792915,新宿区筑土八幡町
新宿区,西五軒町,0,2.787070753156279,新宿区西五軒町
新宿区,東五軒町,0,2.6775683624374453,新宿区東五軒町
新宿区,袋町,0,2.168801230585169,新宿区袋町
千代田区,神田美土代町,0,1.4777517922840349,千代田区神田美土代町
新宿区,若宮町,0,2.0046143252430957,新宿区若宮町
文京区,春日,0,2.775355695814274,文京区春日
文京区,後楽,0,2.257926151260401,文京区後楽
文京区,水道,0,2.9641040738716056,文京区水道
文京区,本郷,0,2.648208340111382,文京区本郷
文京区,湯島,0,2.555497701318324,文京区湯島
台東区,浅草橋,0,3.2421541308957487,台東区浅草橋
台東区,上野,0,3.2695054169453153,台東区上野
台東区,小島,0,3.535451046509028,台東区小島
台東区,台東,0,3.154528655575464,台東区台東
台東区,鳥越,0,3.478038065267361,台東区鳥越
台東区,三筋,0,3.71429100957818,台東区三筋
台東区,元浅草,0,3.9556125762031185,台東区元浅草
台東区,柳橋,0,3.5339626504653516,台東区柳橋
千代田区,五番町,1,1.7684365633462187,千代田区五番町
千代田区,二番町,1,1.5051032648933007,千代田区二番町
千代田区,六番町,1,1.7671751860037395,千代田区六番町
新宿区,愛住町,1,3.081432468969314,新宿区愛住町
新宿区,赤城下町,1,2.8489902899268595,新宿区赤城下町
新宿区,荒木町,1,2.7415664248556775,新宿区荒木町
新宿区,市谷加賀町,1,2.4363223040021786,新宿区市谷加賀町
新宿区,市谷甲良町,1,2.699919309966093,新宿区市谷甲良町
新宿区,市谷左内町,1,2.0221329212491717,新宿区市谷左内町
新宿区,市谷台町,1,3.2495873764556564,新宿区市谷台町
新宿区,市谷仲之町,1,2.8916518185045046,新宿区市谷仲之町
新宿区,市谷本村町,1,2.2712335067374703,新宿区市谷本村町
新宿区,市谷薬王寺町,1,2.8076965693372182,新宿区市谷薬王寺町
新宿区,市谷柳町,1,2.8526061526182347,新宿区市谷柳町
新宿区,市谷山伏町,1,2.769838755033771,新宿区市谷山伏町
新宿区,榎町,1,3.1721448940319705,新宿区榎町
新宿区,大久保,1,4.731477627278092,新宿区大久保
新宿区,改代町,1,2.9615211253472626,新宿区改代町
新宿区,片町,1,2.676368692531942,新宿区片町
新宿区,歌舞伎町,1,4.695963718920189,新宿区歌舞伎町
新宿区,河田町,1,3.2666304083925244,新宿区河田町
新宿区,喜久井町,1,3.4586338598810604,新宿区喜久井町
新宿区,北町,1,2.2957959210463996,新宿区北町
新宿区,北山伏町,1,2.6356973897458493,新宿区北山伏町
新宿区,細工町,1,2.3572344281633035,新宿区細工町
